lead_id,company,niche,city_country,website_or_profile,contact_channel,contact_person_or_role,public_source_url,pain_hypothesis,personalization_angle,offer_fit_score_1_5,status,owner_profile,last_touch_date,next_action,next_action_due,reply_summary,demo_datetime,proposal_package,payment_status,delivery_handoff_status,notes
L023,Как записаться на обследование в Медицинский центр...,частная клиника,"Санкт-Петербург, Россия",https://vk.com/wall-172183363_2332,онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/wall-172183363_2332,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L024,Клиника «Будь Здоров» в Москве,частная клиника,"Москва, Россия",https://klinikabudzdorov.ru/,WhatsApp публично указан; Telegram публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://klinikabudzdorov.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L025,Клиника «Будь Здоров» в СПб,частная клиника,"Санкт-Петербург, Россия",https://spb.klinikabudzdorov.ru/,WhatsApp публично указан; Telegram публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://spb.klinikabudzdorov.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L026,Клиника «Можно». Персонализированная психиатрия...,частная клиника,"Москва, Россия",https://mozhno.clinic/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mozhno.clinic/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L027,Клиника ОСНОВА,частная клиника,"Санкт-Петербург, Россия",https://osnova-clinic.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://osnova-clinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L028,"Клиника внимательной медицины ""Скандинавия""",частная клиника,"Казань, Россия",https://ava-kazan.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://ava-kazan.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L029,Клиника эстетической косметологии Лазерный Доктор,частная клиника,"Санкт-Петербург, Россия",https://laserdoctor.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://laserdoctor.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L030,Лечение тревоги и депрессии в Москве,частная клиника,"Москва, Россия",https://naturemind.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://naturemind.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L031,Медицинский центр «XXI век»,частная клиника,"Санкт-Петербург, Россия",https://mc21.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mc21.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L032,"Медицинский центр «Разумед», Казань",частная клиника,"Казань, Россия",https://razumed.su/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://razumed.su/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L033,Медицинский центр «СМ Клиника»,частная клиника,"Москва, Россия",https://www.smclinic.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://www.smclinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L034,Медфрендс,частная клиника,"Москва, Россия",https://mfclinic.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mfclinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L035,Многопрофильный медицинский центр в Москве,частная клиника,"Москва, Россия",https://www.major-clinic.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.major-clinic.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L036,Семейная клиника «Доктор АННА»,частная клиника,"Москва, Россия",https://doctor-anna.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://doctor-anna.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L037,Специализированная клиника в Санкт-Петербурге...,частная клиника,"Санкт-Петербург, Россия",https://lmtdoctor.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://lmtdoctor.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L038,Частная медицинская клиника в Санкт-Петербурге...,частная клиника,"Санкт-Петербург, Россия",https://medcenter3.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://medcenter3.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L039,Частная семейная клиника,частная клиника,"Москва, Россия",https://www.medicina.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.medicina.ru/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L040,Юсуповская Больница в Москве,частная клиника,"Москва, Россия",https://yusupovs.com/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://yusupovs.com/,много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку,"показать безопасный сценарий «услуга → удобное время → контакты → администратор», без медконсультаций",5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L041,Анатомия,косметология,"Москва, Россия",https://www.anatomia-clinic.ru/,WhatsApp публично указан; Telegram публично указан,администратор/владелец (роль; персональные данные не собирались),https://www.anatomia-clinic.ru/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L042,Клиника косметологии в Москве: косметологические...,косметология,"Москва, Россия",https://buntclinic.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://buntclinic.ru/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L043,Косметология на Бауманской в Москве,косметология,"Москва, Россия",https://olaclinic.ru/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://olaclinic.ru/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L044,Медицинский центр косметологии и красоты «Я Люблю»,косметология,"Москва, Россия",https://ilove.clinic/,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://ilove.clinic/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L045,"Салон красоты ОК метро Отрадное, Москва, ул. Бестужевых, д. 27а",косметология,"Москва, Россия",https://okotradnoe.ru/,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://okotradnoe.ru/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L046,Салон красоты на Войковской Runway Beauty,косметология,"Москва, Россия",https://rwbeauty.ru/,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://rwbeauty.ru/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,4,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
L047,Салон эпиляции и косметологии в Москве,косметология,"Москва, Россия",https://bodymed.online/,WhatsApp публично указан; Telegram публично указан,администратор/владелец (роль; персональные данные не собирались),https://bodymed.online/,"клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов",показать сценарий «процедура → удобное окно → противопоказания чекбоксом → заявка администратору»,5,new,lead-research-agent,,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,,,,,,Публичный источник из web search; телефоны/email/имена не копировались.
