company,niche,channel,contact,source,score,owner,status,next_action,due_date,notes
"Стоматологическая клиника ""DENT DESIGN """,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://dentdesign-spb.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Стоматологический центр ортодонтии и гнатологии в Москве...,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://ortognatika.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Стоматология Dental Mania лечение зубов и имплантация в Москве,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dentalmania.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Стоматология Денс,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dens-clinic.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Стоматология Зуб.ру,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://zub.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Стоматология в Санкт-Петербурге Вероника,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://veronica.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
"Стоматология на Гончарной, 27",стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://32stoma.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Стоматология с Улыбкой Time to Smile,стоматология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://timetosmile.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
"Услуги стоматологической клиники| г. Москва, N-CLINIC",стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://n-clinic2016.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
современная стоматологическая клиника в Санкт-Петербурге,стоматология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://m-stom.com/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: дорогие входящие заявки, администратор может терять обращения вне рабочего времени; нужен быстрый сбор услуги, боли и времени записи"
Hadassah Moscow,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://hadassah.moscow/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Адамант Медицинская Клиника,частная клиника,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://amclinic.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Как записаться на обследование в Медицинский центр...,частная клиника,онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/wall-172183363_2332,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Клиника «Будь Здоров» в Москве,частная клиника,WhatsApp публично указан; Telegram публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://klinikabudzdorov.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Клиника «Будь Здоров» в СПб,частная клиника,WhatsApp публично указан; Telegram публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://spb.klinikabudzdorov.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Клиника «Можно». Персонализированная психиатрия...,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mozhno.clinic/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Клиника ОСНОВА,частная клиника,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://osnova-clinic.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
"Клиника внимательной медицины ""Скандинавия""",частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://ava-kazan.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Клиника эстетической косметологии Лазерный Доктор,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://laserdoctor.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Лечение тревоги и депрессии в Москве,частная клиника,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://naturemind.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Медицинский центр «XXI век»,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mc21.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
"Медицинский центр «Разумед», Казань",частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://razumed.su/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Медицинский центр «СМ Клиника»,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://www.smclinic.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Медфрендс,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://mfclinic.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Многопрофильный медицинский центр в Москве,частная клиника,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.major-clinic.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Семейная клиника «Доктор АННА»,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://doctor-anna.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Специализированная клиника в Санкт-Петербурге...,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://lmtdoctor.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Частная медицинская клиника в Санкт-Петербурге...,частная клиника,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://medcenter3.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Частная семейная клиника,частная клиника,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.medicina.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Юсуповская Больница в Москве,частная клиника,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://yusupovs.com/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: много однотипных вопросов до записи; важно не потерять пациента и передать администратору структурированную заявку
Анатомия,косметология,WhatsApp публично указан; Telegram публично указан,администратор/владелец (роль; персональные данные не собирались),https://www.anatomia-clinic.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
Клиника косметологии в Москве: косметологические...,косметология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://buntclinic.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
Косметология на Бауманской в Москве,косметология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://olaclinic.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
Медицинский центр косметологии и красоты «Я Люблю»,косметология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://ilove.clinic/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
"Салон красоты ОК метро Отрадное, Москва, ул. Бестужевых, д. 27а",косметология,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://okotradnoe.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
Салон красоты на Войковской Runway Beauty,косметология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://rwbeauty.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
Салон эпиляции и косметологии в Москве,косметология,WhatsApp публично указан; Telegram публично указан,администратор/владелец (роль; персональные данные не собирались),https://bodymed.online/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
"Сеть клиник пластической хирургии и косметологии Frau Klinik""",косметология,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://www.frauklinik.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
"Центр здоровья и красоты ""Океан смыслов"" в Москве",косметология,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://oceanstudia.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
"Эссет Москва, Орджоникидзе 12с4, 1208",косметология,WhatsApp публично указан; онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://dikidi.ru/ru/profile/esset_2090669,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: клиент выбирает процедуру через вопросы в мессенджере; бот может собрать желаемую услугу, окно записи и противопоказания без медсоветов"
DANCE & BEAUTY,салон красоты,WhatsApp публично указан,администратор/владелец (роль; персональные данные не собирались),https://dancebeauty.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора"
KhoninDementeva Салон красоты,салон красоты,WhatsApp публично указан; онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/khonindementeva,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора"
Онлайн запись,салон красоты,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://primenailbar.ru/,3,lead-research-agent,nurture,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора"
Салон красоты ТИШЕ,салон красоты,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://tishemsk.ru/,3,lead-research-agent,nurture,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора"
Сеть салонов красоты EVA PILOYAN,салон красоты,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://evapiloyan.ru/,3,lead-research-agent,nurture,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора"
ЦVЕТИ САЛОН КРАСОТЫ,салон красоты,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://tsvetibeauty.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора"
Центр Красоты НОЛА на Павелецкой,салон красоты,сайт/профиль с публичной формой или контактами,администратор/владелец (роль; персональные данные не собирались),https://nola.ru/,3,lead-research-agent,nurture,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: запись часто идёт через мессенджеры; бот может уточнить услугу, мастера и время, не перегружая администратора"
Britvabarber — Главная,барбершоп,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://britvabarber.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: повторные записи и выбор слота; бот может принять заявку и передать администратору без пропуска сообщений
БАРБЕРШОП FABRIC13,барбершоп,WhatsApp публично указан; онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/fabric13barber,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: повторные записи и выбор слота; бот может принять заявку и передать администратору без пропуска сообщений
Барбершоп в Москве цены записаться на стрижку рядом онлайн,барбершоп,онлайн-запись/форма заявки,администратор/владелец (роль; персональные данные не собирались),https://firmbarbershop.ru/,4,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,Публичный источник из web search; телефоны/email/имена не копировались. | Pain: повторные записи и выбор слота; бот может принять заявку и передать администратору без пропуска сообщений
Brilliant Detail,детейлинг,WhatsApp публично указан,администратор/владелец (роль; персональные данные не собирались),https://brilliant-detail.ru/,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа"
Бронь лобаша ЗАПИСЫВАЙСЯ по Тел. или WhatsApp...,детейлинг,онлайн-запись/форма заявки; VK,администратор/владелец (роль; персональные данные не собирались),https://vk.com/wall-213041556_26,5,lead-research-agent,new,"Перед касанием вручную открыть публичный источник, подтвердить актуальность и использовать только approved outreach-script; сейчас не отправлять.",2026-06-13,"Публичный источник из web search; телефоны/email/имена не копировались. | Pain: заявка требует уточнить авто, услугу и желаемую дату; бот экономит время менеджера и повышает скорость ответа"
